periodos,zona,viajeros_nacional,viajeros_andalucia,viajeros_aragon,viajeros_asturias,viajeros_balears,viajeros_canarias,viajeros_cantabria,viajeros_castilla_leon,viajeros_castilla_mancha,viajeros_cataluña,viajeros_valencia,viajeros_extremadura,viajeros_galicia,viajeros_madrid,viajeros_murcia,viajeros_navarra,viajeros_pais_vasco,viajeros_rioja,viajeros_ceuta,viajeros_melilla,pernoc_total_nacional,pernoc_andalucia,pernoc_aragon,pernoc_asturias,pernoc_balears,pernoc_canarias,pernoc_cantabria,pernoc_castilla_leon,pernoc_castilla_mancha,pernoc_cataluña,pernoc_valencia,pernoc_extremadura,pernoc_galicia,pernoc_madrid,pernoc_murcia,pernoc_navarra,pernoc_paisvasco,pernoc_rioja,pernoc_ceuta,pernoc_melilla
2024M06,28 Madrid,100,13.52,2.36,2.74,2.48,3.55,1.87,4.93,3.34,12.46,8.04,2.82,5.04,27.11,2.71,1.49,4.34,0.76,0.34,0.11,100,14.04,2.25,2.92,2.37,3.96,2.19,4.36,3.09,12.06,7.69,2.59,5.08,28.12,2.57,1.4,4.19,0.66,0.34,0.11
2024M05,29 Málaga,100,49.51,0.54,0.76,2.57,0.97,0.77,1.56,2.97,7.79,3.19,1.35,2.31,18.69,1.59,0.49,2.43,0.26,1.02,1.25,100,45.67,0.81,1.23,3.4,1.09,1.26,2.62,2.99,6.86,3.43,1.27,3.76,18.09,1.17,0.8,3.62,0.32,0.83,0.78
2024M05,41 Sevilla,100,40.47,1.36,1,1.38,2.09,1.03,2.72,3.13,7.26,4.55,3.25,2.87,24.27,1.41,0.66,1.66,0.49,0.37,0.03,100,36.64,1.63,1.17,1.4,2.34,1.4,3.72,3.18,8.04,4.56,2.85,3.91,23.82,1.5,0.74,2.12,0.52,0.45,0.02
2024M05,"07 Balears, Illes",100,6.92,1.19,0.93,35.32,1.08,0.77,2.26,1.96,15.27,6.26,0.46,3.43,18.27,1.09,0.36,3.91,0.17,0.33,0,100,7.38,1.23,1.05,35.3,1.02,0.93,3.29,1.63,13.39,5.13,0.45,3.46,19.39,1.05,0.46,4.29,0.18,0.37,0
2024M05,08 Barcelona,100,7.35,2.31,0.93,2.81,1.34,0.45,1.79,1.72,42.99,6.16,0.67,2.32,22.28,1.17,0.97,3.47,0.34,0.71,0.23,100,7.81,2.34,1.03,2.39,1.38,0.49,1.92,1.9,41.77,6.94,0.68,2.25,21.44,1.25,1.18,4.19,0.36,0.48,0.22
2024M05,17 Girona,100,2.02,1.47,0.27,0.67,0.27,0.24,0.67,0.61,80.44,3.1,0.28,0.65,6.85,0.26,0.35,1.55,0.19,0.05,0.04,100,3.02,1.56,0.42,0.57,0.32,0.26,0.88,1.13,73.9,5.21,0.46,1.03,8.3,0.23,0.45,2.03,0.18,0.04,0.02
2024M05,46 Valencia/València,100,11.85,2.54,1.26,2.3,0.75,0.38,2.8,6.14,11.77,20.6,0.75,2.15,28.48,3.22,0.79,2.72,0.5,0.95,0.05,100,10.66,2.68,1.27,2.24,0.82,0.53,3.45,6.69,10.8,18.45,0.81,2.71,29.72,3.37,0.82,3.46,0.61,0.85,0.04
2024M05,28 Madrid,100,14.62,2.09,2.4,2.37,2.99,1.54,4.42,3,13.79,9.21,2.16,5.36,25.74,2.86,1.73,4.36,0.81,0.32,0.23,100,15.12,1.83,2.4,2.53,3.32,1.48,3.93,2.87,13.01,9.07,1.96,5.4,27.15,2.81,1.61,4.27,0.66,0.35,0.25
2024M04,29 Málaga,100,52.17,0.9,0.55,3.32,1.03,0.48,1.79,1.72,7.44,3.32,1.18,2.76,16.78,1.63,0.41,2.44,0.24,0.96,0.9,100,44.97,1.25,1.21,4.29,1.11,1.03,2.51,1.85,8.75,3.36,1.35,4.26,15.63,1.36,1.04,4.23,0.41,0.82,0.56
2024M04,41 Sevilla,100,35.92,1.55,1.1,2.2,1.71,1.15,3.96,3.07,6.87,4.76,2.94,2.41,23.44,1.87,0.84,5.19,0.64,0.33,0.05,100,34.3,1.99,1.28,2.35,1.89,1.19,4.24,3.24,7.24,4.93,2.48,3.51,21.81,1.94,0.86,5.68,0.72,0.31,0.05
2024M04,"07 Balears, Illes",100,8.3,1.36,0.76,42.32,0.93,0.25,1.27,1.16,14.08,5.21,0.33,2.29,17.52,1,0.35,1.86,0.65,0.04,0.3,100,8.22,1.26,0.53,37.75,1.07,0.38,1.29,1.83,20.79,4.08,0.35,2.94,15.03,0.82,0.27,2.57,0.61,0.03,0.19
2024M04,08 Barcelona,100,6.57,2.86,0.95,2.07,1.91,0.6,1.68,2.27,41.79,6.55,0.58,2.79,22.98,1.06,1.12,3.49,0.38,0.08,0.28,100,6.58,2.94,1,1.81,3.11,0.98,1.98,1.93,39.14,6.9,0.79,3.23,22.04,1.02,1.22,4.67,0.34,0.08,0.22
2024M04,17 Girona,100,2.15,1.15,0.39,0.81,0.32,0.13,0.64,1,75.89,4.31,1.07,0.81,8.61,0.27,0.33,1.99,0.09,0.02,0,100,3.51,1.45,0.49,0.93,0.45,0.18,0.96,1.66,67.17,7.14,1.16,1.01,10.2,0.53,0.5,2.52,0.14,0.02,0
2024M04,46 Valencia/València,100,12.88,2.64,0.79,2.39,0.83,0.67,2.32,4.66,12.19,22.65,0.58,1.7,27.63,4.07,0.8,2.34,0.39,0.42,0.03,100,12.3,2.64,1.02,2.76,1.03,1.04,2.92,5.36,13.03,20.48,0.58,2.18,25.42,3.68,1.04,3.38,0.5,0.62,0.03
2024M04,28 Madrid,100,13.2,2.74,2.75,2.16,3.24,1.42,4.86,3.59,14.37,9.47,2.37,5.26,24.41,3,1.32,4.52,0.9,0.26,0.16,100,13.85,2.67,2.8,2.14,3.68,1.44,4.41,3.28,13.75,9.14,2.23,5.62,25.18,2.89,1.24,4.45,0.83,0.26,0.15
2024M03,29 Málaga,100,47.01,0.83,0.89,1.67,1.07,0.56,1.98,2.92,7.77,3.82,1.59,2.43,20.34,1.67,0.44,2.5,0.18,0.94,1.41,100,40.35,1.3,1.79,2.07,1.57,0.86,2.31,3.21,8.49,4.02,1.97,3.66,20.67,1.4,0.87,3.59,0.24,0.71,0.9
2024M03,41 Sevilla,100,39.57,1.41,0.97,1.2,2.48,0.94,3.68,3.34,8.7,5.1,4,2.36,20.22,1.72,0.83,2.37,0.55,0.46,0.1,100,35.51,1.77,1.33,1.57,2.98,1.07,3.86,3.39,8.97,5.71,3.31,2.9,20.56,1.86,1.04,2.99,0.65,0.47,0.07
2024M03,"07 Balears, Illes",100,16.23,0.82,1.01,41.72,1.13,0.27,0.81,1.13,8.46,4.16,0.61,1.63,19,0.89,0.32,1.46,0.13,0.2,0.03,100,29,1.13,0.81,34.88,0.97,0.44,0.9,0.93,7.27,3.63,1.08,1.84,14.66,0.59,0.21,1.32,0.14,0.19,0.02
2024M03,08 Barcelona,100,7.05,2.4,0.62,2.43,1.9,0.64,2.12,1.83,42.16,6.85,0.81,2.12,21.58,1.58,1.06,4.03,0.44,0.15,0.2,100,7.37,2.29,0.99,2.08,1.82,0.67,2.85,1.88,40.87,6.05,1.09,2.25,21.43,1.88,1.71,4.05,0.42,0.14,0.15
